ClimateKG_Author_ID,QID,Item_URL,Batch,Action
AU0017,Q4015,http://localhost:8080/wiki/Item:Q4015,Original,KEEP
AU0017,Q4948,http://localhost:8080/wiki/Item:Q4948,Duplicate,DELETE
AU0018,Q4016,http://localhost:8080/wiki/Item:Q4016,Original,KEEP
AU0018,Q4949,http://localhost:8080/wiki/Item:Q4949,Duplicate,DELETE
AU0019,Q4017,http://localhost:8080/wiki/Item:Q4017,Original,KEEP
AU0019,Q4950,http://localhost:8080/wiki/Item:Q4950,Duplicate,DELETE
AU0020,Q4018,http://localhost:8080/wiki/Item:Q4018,Original,KEEP
AU0020,Q4951,http://localhost:8080/wiki/Item:Q4951,Duplicate,DELETE
AU0021,Q4019,http://localhost:8080/wiki/Item:Q4019,Original,KEEP
AU0021,Q4952,http://localhost:8080/wiki/Item:Q4952,Duplicate,DELETE
AU0022,Q4020,http://localhost:8080/wiki/Item:Q4020,Original,KEEP
AU0022,Q4953,http://localhost:8080/wiki/Item:Q4953,Duplicate,DELETE
AU0023,Q4021,http://localhost:8080/wiki/Item:Q4021,Original,KEEP
AU0023,Q4954,http://localhost:8080/wiki/Item:Q4954,Duplicate,DELETE
AU0024,Q4022,http://localhost:8080/wiki/Item:Q4022,Original,KEEP
AU0024,Q4955,http://localhost:8080/wiki/Item:Q4955,Duplicate,DELETE
AU0025,Q4023,http://localhost:8080/wiki/Item:Q4023,Original,KEEP
AU0025,Q4956,http://localhost:8080/wiki/Item:Q4956,Duplicate,DELETE
AU0026,Q4024,http://localhost:8080/wiki/Item:Q4024,Original,KEEP
AU0026,Q4957,http://localhost:8080/wiki/Item:Q4957,Duplicate,DELETE
AU0027,Q4025,http://localhost:8080/wiki/Item:Q4025,Original,KEEP
AU0027,Q4958,http://localhost:8080/wiki/Item:Q4958,Duplicate,DELETE
AU0028,Q4026,http://localhost:8080/wiki/Item:Q4026,Original,KEEP
AU0028,Q4959,http://localhost:8080/wiki/Item:Q4959,Duplicate,DELETE
AU0029,Q4027,http://localhost:8080/wiki/Item:Q4027,Original,KEEP
AU0029,Q4960,http://localhost:8080/wiki/Item:Q4960,Duplicate,DELETE
AU0030,Q4028,http://localhost:8080/wiki/Item:Q4028,Original,KEEP
AU0030,Q4961,http://localhost:8080/wiki/Item:Q4961,Duplicate,DELETE
AU0031,Q4029,http://localhost:8080/wiki/Item:Q4029,Original,KEEP
AU0031,Q4962,http://localhost:8080/wiki/Item:Q4962,Duplicate,DELETE
AU0032,Q4030,http://localhost:8080/wiki/Item:Q4030,Original,KEEP
AU0032,Q4963,http://localhost:8080/wiki/Item:Q4963,Duplicate,DELETE
AU0033,Q4031,http://localhost:8080/wiki/Item:Q4031,Original,KEEP
AU0033,Q4964,http://localhost:8080/wiki/Item:Q4964,Duplicate,DELETE
AU0034,Q4032,http://localhost:8080/wiki/Item:Q4032,Original,KEEP
AU0034,Q4965,http://localhost:8080/wiki/Item:Q4965,Duplicate,DELETE
AU0035,Q4033,http://localhost:8080/wiki/Item:Q4033,Original,KEEP
AU0035,Q4966,http://localhost:8080/wiki/Item:Q4966,Duplicate,DELETE
AU0036,Q4034,http://localhost:8080/wiki/Item:Q4034,Original,KEEP
AU0036,Q4967,http://localhost:8080/wiki/Item:Q4967,Duplicate,DELETE
AU0037,Q4035,http://localhost:8080/wiki/Item:Q4035,Original,KEEP
AU0037,Q4968,http://localhost:8080/wiki/Item:Q4968,Duplicate,DELETE
AU0038,Q4036,http://localhost:8080/wiki/Item:Q4036,Original,KEEP
AU0038,Q4969,http://localhost:8080/wiki/Item:Q4969,Duplicate,DELETE
AU0039,Q4037,http://localhost:8080/wiki/Item:Q4037,Original,KEEP
AU0039,Q4970,http://localhost:8080/wiki/Item:Q4970,Duplicate,DELETE
AU0040,Q4038,http://localhost:8080/wiki/Item:Q4038,Original,KEEP
AU0040,Q4971,http://localhost:8080/wiki/Item:Q4971,Duplicate,DELETE
AU0041,Q4039,http://localhost:8080/wiki/Item:Q4039,Original,KEEP
AU0041,Q4972,http://localhost:8080/wiki/Item:Q4972,Duplicate,DELETE
AU0042,Q4040,http://localhost:8080/wiki/Item:Q4040,Original,KEEP
AU0042,Q4973,http://localhost:8080/wiki/Item:Q4973,Duplicate,DELETE
AU0043,Q4041,http://localhost:8080/wiki/Item:Q4041,Original,KEEP
AU0043,Q4974,http://localhost:8080/wiki/Item:Q4974,Duplicate,DELETE
AU0044,Q4042,http://localhost:8080/wiki/Item:Q4042,Original,KEEP
AU0044,Q4975,http://localhost:8080/wiki/Item:Q4975,Duplicate,DELETE
AU0045,Q4043,http://localhost:8080/wiki/Item:Q4043,Original,KEEP
AU0045,Q4976,http://localhost:8080/wiki/Item:Q4976,Duplicate,DELETE
AU0046,Q4044,http://localhost:8080/wiki/Item:Q4044,Original,KEEP
AU0046,Q4977,http://localhost:8080/wiki/Item:Q4977,Duplicate,DELETE
AU0047,Q4045,http://localhost:8080/wiki/Item:Q4045,Original,KEEP
AU0047,Q4978,http://localhost:8080/wiki/Item:Q4978,Duplicate,DELETE
AU0048,Q4046,http://localhost:8080/wiki/Item:Q4046,Original,KEEP
AU0048,Q4979,http://localhost:8080/wiki/Item:Q4979,Duplicate,DELETE
AU0049,Q4047,http://localhost:8080/wiki/Item:Q4047,Original,KEEP
AU0049,Q4980,http://localhost:8080/wiki/Item:Q4980,Duplicate,DELETE
AU0050,Q4048,http://localhost:8080/wiki/Item:Q4048,Original,KEEP
AU0050,Q4981,http://localhost:8080/wiki/Item:Q4981,Duplicate,DELETE
AU0051,Q4049,http://localhost:8080/wiki/Item:Q4049,Original,KEEP
AU0051,Q4982,http://localhost:8080/wiki/Item:Q4982,Duplicate,DELETE
AU0052,Q4050,http://localhost:8080/wiki/Item:Q4050,Original,KEEP
AU0052,Q4983,http://localhost:8080/wiki/Item:Q4983,Duplicate,DELETE
AU0053,Q4051,http://localhost:8080/wiki/Item:Q4051,Original,KEEP
AU0053,Q4984,http://localhost:8080/wiki/Item:Q4984,Duplicate,DELETE
AU0054,Q4052,http://localhost:8080/wiki/Item:Q4052,Original,KEEP
AU0054,Q4985,http://localhost:8080/wiki/Item:Q4985,Duplicate,DELETE
AU0055,Q4053,http://localhost:8080/wiki/Item:Q4053,Original,KEEP
AU0055,Q4986,http://localhost:8080/wiki/Item:Q4986,Duplicate,DELETE
AU0056,Q4054,http://localhost:8080/wiki/Item:Q4054,Original,KEEP
AU0056,Q4987,http://localhost:8080/wiki/Item:Q4987,Duplicate,DELETE
AU0057,Q4055,http://localhost:8080/wiki/Item:Q4055,Original,KEEP
AU0057,Q4988,http://localhost:8080/wiki/Item:Q4988,Duplicate,DELETE
AU0058,Q4056,http://localhost:8080/wiki/Item:Q4056,Original,KEEP
AU0058,Q4989,http://localhost:8080/wiki/Item:Q4989,Duplicate,DELETE
AU0059,Q4057,http://localhost:8080/wiki/Item:Q4057,Original,KEEP
AU0059,Q4990,http://localhost:8080/wiki/Item:Q4990,Duplicate,DELETE
AU0060,Q4058,http://localhost:8080/wiki/Item:Q4058,Original,KEEP
AU0060,Q4991,http://localhost:8080/wiki/Item:Q4991,Duplicate,DELETE
AU0061,Q4059,http://localhost:8080/wiki/Item:Q4059,Original,KEEP
AU0061,Q4992,http://localhost:8080/wiki/Item:Q4992,Duplicate,DELETE
AU0062,Q4060,http://localhost:8080/wiki/Item:Q4060,Original,KEEP
AU0062,Q4993,http://localhost:8080/wiki/Item:Q4993,Duplicate,DELETE
AU0063,Q4061,http://localhost:8080/wiki/Item:Q4061,Original,KEEP
AU0063,Q4994,http://localhost:8080/wiki/Item:Q4994,Duplicate,DELETE
AU0064,Q4062,http://localhost:8080/wiki/Item:Q4062,Original,KEEP
AU0064,Q4995,http://localhost:8080/wiki/Item:Q4995,Duplicate,DELETE
AU0065,Q4063,http://localhost:8080/wiki/Item:Q4063,Original,KEEP
AU0065,Q4996,http://localhost:8080/wiki/Item:Q4996,Duplicate,DELETE
AU0066,Q4064,http://localhost:8080/wiki/Item:Q4064,Original,KEEP
AU0066,Q4997,http://localhost:8080/wiki/Item:Q4997,Duplicate,DELETE
AU0067,Q4065,http://localhost:8080/wiki/Item:Q4065,Original,KEEP
AU0067,Q4998,http://localhost:8080/wiki/Item:Q4998,Duplicate,DELETE
AU0068,Q4066,http://localhost:8080/wiki/Item:Q4066,Original,KEEP
AU0068,Q4999,http://localhost:8080/wiki/Item:Q4999,Duplicate,DELETE
AU0069,Q4067,http://localhost:8080/wiki/Item:Q4067,Original,KEEP
AU0069,Q5000,http://localhost:8080/wiki/Item:Q5000,Duplicate,DELETE
AU0070,Q4068,http://localhost:8080/wiki/Item:Q4068,Original,KEEP
AU0070,Q5001,http://localhost:8080/wiki/Item:Q5001,Duplicate,DELETE
AU0071,Q4069,http://localhost:8080/wiki/Item:Q4069,Original,KEEP
AU0071,Q5002,http://localhost:8080/wiki/Item:Q5002,Duplicate,DELETE
AU0072,Q4070,http://localhost:8080/wiki/Item:Q4070,Original,KEEP
AU0072,Q5003,http://localhost:8080/wiki/Item:Q5003,Duplicate,DELETE
AU0073,Q4071,http://localhost:8080/wiki/Item:Q4071,Original,KEEP
AU0073,Q5004,http://localhost:8080/wiki/Item:Q5004,Duplicate,DELETE
AU0074,Q4072,http://localhost:8080/wiki/Item:Q4072,Original,KEEP
AU0074,Q5005,http://localhost:8080/wiki/Item:Q5005,Duplicate,DELETE
AU0075,Q4073,http://localhost:8080/wiki/Item:Q4073,Original,KEEP
AU0075,Q5006,http://localhost:8080/wiki/Item:Q5006,Duplicate,DELETE
AU0076,Q4074,http://localhost:8080/wiki/Item:Q4074,Original,KEEP
AU0076,Q5007,http://localhost:8080/wiki/Item:Q5007,Duplicate,DELETE
AU0077,Q4075,http://localhost:8080/wiki/Item:Q4075,Original,KEEP
AU0077,Q5008,http://localhost:8080/wiki/Item:Q5008,Duplicate,DELETE
AU0078,Q4076,http://localhost:8080/wiki/Item:Q4076,Original,KEEP
AU0078,Q5009,http://localhost:8080/wiki/Item:Q5009,Duplicate,DELETE
AU0079,Q4077,http://localhost:8080/wiki/Item:Q4077,Original,KEEP
AU0079,Q5010,http://localhost:8080/wiki/Item:Q5010,Duplicate,DELETE
AU0080,Q4078,http://localhost:8080/wiki/Item:Q4078,Original,KEEP
AU0080,Q5011,http://localhost:8080/wiki/Item:Q5011,Duplicate,DELETE
AU0081,Q4079,http://localhost:8080/wiki/Item:Q4079,Original,KEEP
AU0081,Q5012,http://localhost:8080/wiki/Item:Q5012,Duplicate,DELETE
AU0082,Q4080,http://localhost:8080/wiki/Item:Q4080,Original,KEEP
AU0082,Q5013,http://localhost:8080/wiki/Item:Q5013,Duplicate,DELETE
AU0083,Q4081,http://localhost:8080/wiki/Item:Q4081,Original,KEEP
AU0083,Q5014,http://localhost:8080/wiki/Item:Q5014,Duplicate,DELETE
AU0084,Q4082,http://localhost:8080/wiki/Item:Q4082,Original,KEEP
AU0084,Q5015,http://localhost:8080/wiki/Item:Q5015,Duplicate,DELETE
AU0085,Q4083,http://localhost:8080/wiki/Item:Q4083,Original,KEEP
AU0085,Q5016,http://localhost:8080/wiki/Item:Q5016,Duplicate,DELETE
AU0086,Q4084,http://localhost:8080/wiki/Item:Q4084,Original,KEEP
AU0086,Q5017,http://localhost:8080/wiki/Item:Q5017,Duplicate,DELETE
AU0087,Q4085,http://localhost:8080/wiki/Item:Q4085,Original,KEEP
AU0087,Q5018,http://localhost:8080/wiki/Item:Q5018,Duplicate,DELETE
AU0088,Q4086,http://localhost:8080/wiki/Item:Q4086,Original,KEEP
AU0088,Q5019,http://localhost:8080/wiki/Item:Q5019,Duplicate,DELETE
AU0089,Q4087,http://localhost:8080/wiki/Item:Q4087,Original,KEEP
AU0089,Q5020,http://localhost:8080/wiki/Item:Q5020,Duplicate,DELETE
AU0090,Q4088,http://localhost:8080/wiki/Item:Q4088,Original,KEEP
AU0090,Q5021,http://localhost:8080/wiki/Item:Q5021,Duplicate,DELETE
AU0091,Q4089,http://localhost:8080/wiki/Item:Q4089,Original,KEEP
AU0091,Q5022,http://localhost:8080/wiki/Item:Q5022,Duplicate,DELETE
AU0092,Q4090,http://localhost:8080/wiki/Item:Q4090,Original,KEEP
AU0092,Q5023,http://localhost:8080/wiki/Item:Q5023,Duplicate,DELETE
AU0093,Q4091,http://localhost:8080/wiki/Item:Q4091,Original,KEEP
AU0093,Q5024,http://localhost:8080/wiki/Item:Q5024,Duplicate,DELETE
AU0094,Q4092,http://localhost:8080/wiki/Item:Q4092,Original,KEEP
AU0094,Q5025,http://localhost:8080/wiki/Item:Q5025,Duplicate,DELETE
AU0095,Q4093,http://localhost:8080/wiki/Item:Q4093,Original,KEEP
AU0095,Q5026,http://localhost:8080/wiki/Item:Q5026,Duplicate,DELETE
AU0096,Q4094,http://localhost:8080/wiki/Item:Q4094,Original,KEEP
AU0096,Q5027,http://localhost:8080/wiki/Item:Q5027,Duplicate,DELETE
AU0097,Q4095,http://localhost:8080/wiki/Item:Q4095,Original,KEEP
AU0097,Q5028,http://localhost:8080/wiki/Item:Q5028,Duplicate,DELETE
AU0098,Q4096,http://localhost:8080/wiki/Item:Q4096,Original,KEEP
AU0098,Q5029,http://localhost:8080/wiki/Item:Q5029,Duplicate,DELETE
AU0099,Q4097,http://localhost:8080/wiki/Item:Q4097,Original,KEEP
AU0099,Q5030,http://localhost:8080/wiki/Item:Q5030,Duplicate,DELETE
AU0100,Q4098,http://localhost:8080/wiki/Item:Q4098,Original,KEEP
AU0100,Q5031,http://localhost:8080/wiki/Item:Q5031,Duplicate,DELETE
AU0101,Q4099,http://localhost:8080/wiki/Item:Q4099,Original,KEEP
AU0101,Q5032,http://localhost:8080/wiki/Item:Q5032,Duplicate,DELETE
AU0102,Q4100,http://localhost:8080/wiki/Item:Q4100,Original,KEEP
AU0102,Q5033,http://localhost:8080/wiki/Item:Q5033,Duplicate,DELETE
AU0103,Q4101,http://localhost:8080/wiki/Item:Q4101,Original,KEEP
AU0103,Q5034,http://localhost:8080/wiki/Item:Q5034,Duplicate,DELETE
AU0104,Q4102,http://localhost:8080/wiki/Item:Q4102,Original,KEEP
AU0104,Q5035,http://localhost:8080/wiki/Item:Q5035,Duplicate,DELETE
AU0105,Q4103,http://localhost:8080/wiki/Item:Q4103,Original,KEEP
AU0105,Q5036,http://localhost:8080/wiki/Item:Q5036,Duplicate,DELETE
AU0106,Q4104,http://localhost:8080/wiki/Item:Q4104,Original,KEEP
AU0106,Q5037,http://localhost:8080/wiki/Item:Q5037,Duplicate,DELETE
AU0107,Q4105,http://localhost:8080/wiki/Item:Q4105,Original,KEEP
AU0107,Q5038,http://localhost:8080/wiki/Item:Q5038,Duplicate,DELETE
AU0108,Q4106,http://localhost:8080/wiki/Item:Q4106,Original,KEEP
AU0108,Q5039,http://localhost:8080/wiki/Item:Q5039,Duplicate,DELETE
AU0109,Q4107,http://localhost:8080/wiki/Item:Q4107,Original,KEEP
AU0109,Q5040,http://localhost:8080/wiki/Item:Q5040,Duplicate,DELETE
AU0110,Q4108,http://localhost:8080/wiki/Item:Q4108,Original,KEEP
AU0110,Q5041,http://localhost:8080/wiki/Item:Q5041,Duplicate,DELETE
AU0111,Q4109,http://localhost:8080/wiki/Item:Q4109,Original,KEEP
AU0111,Q5042,http://localhost:8080/wiki/Item:Q5042,Duplicate,DELETE
AU0112,Q4110,http://localhost:8080/wiki/Item:Q4110,Original,KEEP
AU0112,Q5043,http://localhost:8080/wiki/Item:Q5043,Duplicate,DELETE
AU0113,Q4111,http://localhost:8080/wiki/Item:Q4111,Original,KEEP
AU0113,Q5044,http://localhost:8080/wiki/Item:Q5044,Duplicate,DELETE
AU0114,Q4112,http://localhost:8080/wiki/Item:Q4112,Original,KEEP
AU0114,Q5045,http://localhost:8080/wiki/Item:Q5045,Duplicate,DELETE
AU0115,Q4113,http://localhost:8080/wiki/Item:Q4113,Original,KEEP
AU0115,Q5046,http://localhost:8080/wiki/Item:Q5046,Duplicate,DELETE
AU0116,Q4114,http://localhost:8080/wiki/Item:Q4114,Original,KEEP
AU0116,Q5047,http://localhost:8080/wiki/Item:Q5047,Duplicate,DELETE
AU0117,Q4115,http://localhost:8080/wiki/Item:Q4115,Original,KEEP
AU0117,Q5048,http://localhost:8080/wiki/Item:Q5048,Duplicate,DELETE
AU0118,Q4116,http://localhost:8080/wiki/Item:Q4116,Original,KEEP
AU0118,Q5049,http://localhost:8080/wiki/Item:Q5049,Duplicate,DELETE
AU0119,Q4117,http://localhost:8080/wiki/Item:Q4117,Original,KEEP
AU0119,Q5050,http://localhost:8080/wiki/Item:Q5050,Duplicate,DELETE
AU0120,Q4118,http://localhost:8080/wiki/Item:Q4118,Original,KEEP
AU0120,Q5051,http://localhost:8080/wiki/Item:Q5051,Duplicate,DELETE
AU0121,Q4119,http://localhost:8080/wiki/Item:Q4119,Original,KEEP
AU0121,Q5052,http://localhost:8080/wiki/Item:Q5052,Duplicate,DELETE
AU0122,Q4120,http://localhost:8080/wiki/Item:Q4120,Original,KEEP
AU0122,Q5053,http://localhost:8080/wiki/Item:Q5053,Duplicate,DELETE
AU0123,Q4121,http://localhost:8080/wiki/Item:Q4121,Original,KEEP
AU0123,Q5054,http://localhost:8080/wiki/Item:Q5054,Duplicate,DELETE
AU0124,Q4122,http://localhost:8080/wiki/Item:Q4122,Original,KEEP
AU0124,Q5055,http://localhost:8080/wiki/Item:Q5055,Duplicate,DELETE
AU0125,Q4123,http://localhost:8080/wiki/Item:Q4123,Original,KEEP
AU0125,Q5056,http://localhost:8080/wiki/Item:Q5056,Duplicate,DELETE
AU0126,Q4124,http://localhost:8080/wiki/Item:Q4124,Original,KEEP
AU0126,Q5057,http://localhost:8080/wiki/Item:Q5057,Duplicate,DELETE
AU0127,Q4125,http://localhost:8080/wiki/Item:Q4125,Original,KEEP
AU0127,Q5058,http://localhost:8080/wiki/Item:Q5058,Duplicate,DELETE
AU0128,Q4126,http://localhost:8080/wiki/Item:Q4126,Original,KEEP
AU0128,Q5059,http://localhost:8080/wiki/Item:Q5059,Duplicate,DELETE
AU0129,Q4127,http://localhost:8080/wiki/Item:Q4127,Original,KEEP
AU0129,Q5060,http://localhost:8080/wiki/Item:Q5060,Duplicate,DELETE
AU0130,Q4128,http://localhost:8080/wiki/Item:Q4128,Original,KEEP
AU0130,Q5061,http://localhost:8080/wiki/Item:Q5061,Duplicate,DELETE
AU0131,Q4129,http://localhost:8080/wiki/Item:Q4129,Original,KEEP
AU0131,Q5062,http://localhost:8080/wiki/Item:Q5062,Duplicate,DELETE
AU0132,Q4130,http://localhost:8080/wiki/Item:Q4130,Original,KEEP
AU0132,Q5063,http://localhost:8080/wiki/Item:Q5063,Duplicate,DELETE
AU0133,Q4131,http://localhost:8080/wiki/Item:Q4131,Original,KEEP
AU0133,Q5064,http://localhost:8080/wiki/Item:Q5064,Duplicate,DELETE
AU0134,Q4132,http://localhost:8080/wiki/Item:Q4132,Original,KEEP
AU0134,Q5065,http://localhost:8080/wiki/Item:Q5065,Duplicate,DELETE
AU0135,Q4133,http://localhost:8080/wiki/Item:Q4133,Original,KEEP
AU0135,Q5066,http://localhost:8080/wiki/Item:Q5066,Duplicate,DELETE
AU0136,Q4134,http://localhost:8080/wiki/Item:Q4134,Original,KEEP
AU0136,Q5067,http://localhost:8080/wiki/Item:Q5067,Duplicate,DELETE
AU0137,Q4135,http://localhost:8080/wiki/Item:Q4135,Original,KEEP
AU0137,Q5068,http://localhost:8080/wiki/Item:Q5068,Duplicate,DELETE
AU0138,Q4136,http://localhost:8080/wiki/Item:Q4136,Original,KEEP
AU0138,Q5069,http://localhost:8080/wiki/Item:Q5069,Duplicate,DELETE
AU0139,Q4137,http://localhost:8080/wiki/Item:Q4137,Original,KEEP
AU0139,Q5070,http://localhost:8080/wiki/Item:Q5070,Duplicate,DELETE
AU0140,Q4138,http://localhost:8080/wiki/Item:Q4138,Original,KEEP
AU0140,Q5071,http://localhost:8080/wiki/Item:Q5071,Duplicate,DELETE
AU0141,Q4139,http://localhost:8080/wiki/Item:Q4139,Original,KEEP
AU0141,Q5072,http://localhost:8080/wiki/Item:Q5072,Duplicate,DELETE
AU0142,Q4140,http://localhost:8080/wiki/Item:Q4140,Original,KEEP
AU0142,Q5073,http://localhost:8080/wiki/Item:Q5073,Duplicate,DELETE
AU0143,Q4141,http://localhost:8080/wiki/Item:Q4141,Original,KEEP
AU0143,Q5074,http://localhost:8080/wiki/Item:Q5074,Duplicate,DELETE
AU0144,Q4142,http://localhost:8080/wiki/Item:Q4142,Original,KEEP
AU0144,Q5075,http://localhost:8080/wiki/Item:Q5075,Duplicate,DELETE
AU0145,Q4143,http://localhost:8080/wiki/Item:Q4143,Original,KEEP
AU0145,Q5076,http://localhost:8080/wiki/Item:Q5076,Duplicate,DELETE
AU0146,Q4144,http://localhost:8080/wiki/Item:Q4144,Original,KEEP
AU0146,Q5077,http://localhost:8080/wiki/Item:Q5077,Duplicate,DELETE
AU0147,Q4145,http://localhost:8080/wiki/Item:Q4145,Original,KEEP
AU0147,Q5078,http://localhost:8080/wiki/Item:Q5078,Duplicate,DELETE
AU0148,Q4146,http://localhost:8080/wiki/Item:Q4146,Original,KEEP
AU0148,Q5079,http://localhost:8080/wiki/Item:Q5079,Duplicate,DELETE
AU0149,Q4147,http://localhost:8080/wiki/Item:Q4147,Original,KEEP
AU0149,Q5080,http://localhost:8080/wiki/Item:Q5080,Duplicate,DELETE
AU0150,Q4148,http://localhost:8080/wiki/Item:Q4148,Original,KEEP
AU0150,Q5081,http://localhost:8080/wiki/Item:Q5081,Duplicate,DELETE
AU0151,Q4149,http://localhost:8080/wiki/Item:Q4149,Original,KEEP
AU0151,Q5082,http://localhost:8080/wiki/Item:Q5082,Duplicate,DELETE
AU0152,Q4150,http://localhost:8080/wiki/Item:Q4150,Original,KEEP
AU0152,Q5083,http://localhost:8080/wiki/Item:Q5083,Duplicate,DELETE
AU0153,Q4151,http://localhost:8080/wiki/Item:Q4151,Original,KEEP
AU0153,Q5084,http://localhost:8080/wiki/Item:Q5084,Duplicate,DELETE
AU0154,Q4152,http://localhost:8080/wiki/Item:Q4152,Original,KEEP
AU0154,Q5085,http://localhost:8080/wiki/Item:Q5085,Duplicate,DELETE
AU0155,Q4153,http://localhost:8080/wiki/Item:Q4153,Original,KEEP
AU0155,Q5086,http://localhost:8080/wiki/Item:Q5086,Duplicate,DELETE
AU0156,Q4154,http://localhost:8080/wiki/Item:Q4154,Original,KEEP
AU0156,Q5087,http://localhost:8080/wiki/Item:Q5087,Duplicate,DELETE
AU0157,Q4155,http://localhost:8080/wiki/Item:Q4155,Original,KEEP
AU0157,Q5088,http://localhost:8080/wiki/Item:Q5088,Duplicate,DELETE
AU0158,Q4156,http://localhost:8080/wiki/Item:Q4156,Original,KEEP
AU0158,Q5089,http://localhost:8080/wiki/Item:Q5089,Duplicate,DELETE
AU0159,Q4157,http://localhost:8080/wiki/Item:Q4157,Original,KEEP
AU0159,Q5090,http://localhost:8080/wiki/Item:Q5090,Duplicate,DELETE
AU0160,Q4158,http://localhost:8080/wiki/Item:Q4158,Original,KEEP
AU0160,Q5091,http://localhost:8080/wiki/Item:Q5091,Duplicate,DELETE
AU0161,Q4159,http://localhost:8080/wiki/Item:Q4159,Original,KEEP
AU0161,Q5092,http://localhost:8080/wiki/Item:Q5092,Duplicate,DELETE
AU0162,Q4160,http://localhost:8080/wiki/Item:Q4160,Original,KEEP
AU0162,Q5093,http://localhost:8080/wiki/Item:Q5093,Duplicate,DELETE
AU0163,Q4161,http://localhost:8080/wiki/Item:Q4161,Original,KEEP
AU0163,Q5094,http://localhost:8080/wiki/Item:Q5094,Duplicate,DELETE
AU0164,Q4162,http://localhost:8080/wiki/Item:Q4162,Original,KEEP
AU0164,Q5095,http://localhost:8080/wiki/Item:Q5095,Duplicate,DELETE
AU0165,Q4163,http://localhost:8080/wiki/Item:Q4163,Original,KEEP
AU0165,Q5096,http://localhost:8080/wiki/Item:Q5096,Duplicate,DELETE
AU0166,Q4164,http://localhost:8080/wiki/Item:Q4164,Original,KEEP
AU0166,Q5097,http://localhost:8080/wiki/Item:Q5097,Duplicate,DELETE
AU0167,Q4165,http://localhost:8080/wiki/Item:Q4165,Original,KEEP
AU0167,Q5098,http://localhost:8080/wiki/Item:Q5098,Duplicate,DELETE
AU0168,Q4166,http://localhost:8080/wiki/Item:Q4166,Original,KEEP
AU0168,Q5099,http://localhost:8080/wiki/Item:Q5099,Duplicate,DELETE
AU0169,Q4167,http://localhost:8080/wiki/Item:Q4167,Original,KEEP
AU0169,Q5100,http://localhost:8080/wiki/Item:Q5100,Duplicate,DELETE
AU0170,Q4168,http://localhost:8080/wiki/Item:Q4168,Original,KEEP
AU0170,Q5101,http://localhost:8080/wiki/Item:Q5101,Duplicate,DELETE
AU0171,Q4169,http://localhost:8080/wiki/Item:Q4169,Original,KEEP
AU0171,Q5102,http://localhost:8080/wiki/Item:Q5102,Duplicate,DELETE
AU0172,Q4170,http://localhost:8080/wiki/Item:Q4170,Original,KEEP
AU0172,Q5103,http://localhost:8080/wiki/Item:Q5103,Duplicate,DELETE
